IPA Target,IPA Actual,P101.sample,# Correct,# Substituted,# Deleted,# Epenthesized
,t,2,0,0,0,2
,ʣ̪,1,0,0,0,1
,ʷ̵ɹ,4,0,0,0,4
p,p,6,6,0,0,0
p,b,1,0,1,0,0
b,b,8,8,0,0,0
b,ɪ,1,0,1,0,0
t,t,5,5,0,0,0
t,,2,0,0,2,0
t,ʧ,1,0,1,0,0
d,d,2,2,0,0,0
d,,1,0,0,1,0
d,ʤ,1,0,1,0,0
k,k,9,9,0,0,0
k,,1,0,0,1,0
ɡ,ɡ,5,5,0,0,0
ɡ,g,1,0,1,0,0
f,f,8,8,0,0,0
v,v,3,3,0,0,0
θ,θ,1,1,0,0,0
θ,t̪,1,0,1,0,0
θ,ʔ,1,0,1,0,0
ð,ð,1,1,0,0,0
ð,l,1,0,1,0,0
s,s,4,4,0,0,0
s,ʦ,3,0,3,0,0
s,ʦ̪,1,0,1,0,0
z,z,1,1,0,0,0
z,,2,0,0,2,0
z,t,2,0,2,0,0
z,z̥,1,0,1,0,0
z,z̪,1,0,1,0,0
z,ʣ̪,3,0,3,0,0
ʃ,ʃ,2,2,0,0,0
ʃ,ʧ,1,0,1,0,0
h,h,1,1,0,0,0
ʧ,ʧ,1,1,0,0,0
ʧ,ʃ,2,0,2,0,0
ʤ,ʤ,2,2,0,0,0
ʤ,ʧ,1,0,1,0,0
m,m,7,7,0,0,0
n,n,10,10,0,0,0
n,,1,0,0,1,0
n,m,1,0,1,0,0
n,l,1,0,1,0,0
ŋ,ŋ,3,3,0,0,0
ŋ,ɡ,1,0,1,0,0
ŋ,n,3,0,3,0,0
l,l,10,10,0,0,0
l,,2,0,0,2,0
l,ɫ,2,0,2,0,0
ɹ,ɹ,3,3,0,0,0
ɹ,,8,0,0,8,0
ɹ,l,1,0,1,0,0
ɹ,ɫ,1,0,1,0,0
ɹ,w,2,0,2,0,0
ɹ,i,1,0,1,0,0
ɹ,ɪ,2,0,2,0,0
ɹ,æ,1,0,1,0,0
w,w,5,5,0,0,0
w,ʷ̵ɹ,1,0,1,0,0
j,j,2,2,0,0,0
